2023-02-10T03:24:28.096291-0300 | INFO | Connected in alpha_store with app testing status: False | models.py:45
2023-02-10T03:31:48.124786-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:31:48.124786-0300 | DEBUG | Database URI: <SQLAlchemy> | models.py:46
2023-02-10T03:31:48.124786-0300 | INFO | Auth models configured | models.py:52
2023-02-10T03:31:48.126788-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:31:48.126788-0300 | INFO | App started | main.py:27
2023-02-10T03:33:07.814976-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:33:07.815974-0300 | DEBUG | Database URI: <SQLAlchemy>, postgreesql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:46
2023-02-10T03:33:07.815974-0300 | INFO | Auth models configured | models.py:53
2023-02-10T03:33:07.818975-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:33:07.819978-0300 | INFO | App started | main.py:27
2023-02-10T03:33:51.896904-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:45
2023-02-10T03:33:51.897907-0300 | DEBUG | Database URI: <SQLAlchemy>, postgreesql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:46
2023-02-10T03:33:51.897907-0300 | INFO | Auth models configured | models.py:53
2023-02-10T03:33:51.898905-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:33:51.898905-0300 | INFO | App started | main.py:27
2023-02-10T03:35:54.725335-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:35:54.726334-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:35:54.726334-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:35:54.727335-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:35:54.727335-0300 | INFO | App started | main.py:27
2023-02-10T03:38:36.893876-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:38:36.893876-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:38:36.893876-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:38:36.895876-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:38:36.895876-0300 | INFO | App started | main.py:27
2023-02-10T03:38:53.372653-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:38:53.373652-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:38:53.373652-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:38:53.374653-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:38:53.374653-0300 | INFO | App started | main.py:27
2023-02-10T03:39:05.974021-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:39:05.974989-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:39:05.974989-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:39:05.976020-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:39:05.976020-0300 | INFO | App started | main.py:27
2023-02-10T03:40:18.840320-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:40:18.840320-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:40:18.840320-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:40:18.842320-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:40:18.842320-0300 | INFO | App started | main.py:27
2023-02-10T03:41:24.196379-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:41:24.196379-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:41:24.196379-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:41:24.197383-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:41:24.198384-0300 | INFO | App started | main.py:27
2023-02-10T03:41:38.319335-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:41:38.320364-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:41:38.320364-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:41:38.321363-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:41:38.321363-0300 | INFO | App started | main.py:27
2023-02-10T03:42:06.504924-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:42:06.505954-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:42:06.505954-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:42:06.506922-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:42:06.506922-0300 | INFO | App started | main.py:27
2023-02-10T03:42:52.995043-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:42:52.996043-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:42:52.996043-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:42:52.997045-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:42:52.998044-0300 | INFO | App started | main.py:27
2023-02-10T03:43:08.994313-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:43:08.994313-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:43:08.995312-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:43:08.996312-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:43:08.996312-0300 | INFO | App started | main.py:27
2023-02-10T03:45:04.722575-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:45:04.722575-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:45:04.722575-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:45:04.724576-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:45:04.724576-0300 | INFO | App started | main.py:27
2023-02-10T03:46:14.854713-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:46:14.854713-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:46:14.855700-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:46:14.856702-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:46:14.856702-0300 | INFO | App started | main.py:27
2023-02-10T03:46:27.408432-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:46:27.409461-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:46:27.409461-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:46:27.410432-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:46:27.410432-0300 | INFO | App started | main.py:27
2023-02-10T03:46:57.200525-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:46:57.200525-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:46:57.200525-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:46:57.202495-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:46:57.202495-0300 | INFO | App started | main.py:27
2023-02-10T03:47:11.660486-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:47:11.661485-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:47:11.661485-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:47:11.666486-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:47:11.668484-0300 | INFO | App started | main.py:27
2023-02-10T03:48:19.940633-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:48:19.940633-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:48:19.941635-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:48:19.942664-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:48:19.942664-0300 | INFO | App started | main.py:27
2023-02-10T03:49:21.405598-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:49:21.405598-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:49:21.405598-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:49:21.406566-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:49:21.407596-0300 | INFO | App started | main.py:27
2023-02-10T03:49:21.557571-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:49:21.558569-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:49:21.558569-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:49:21.559569-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:49:21.559569-0300 | INFO | App started | main.py:27
2023-02-10T03:49:44.560088-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:49:44.561089-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:49:44.561089-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:49:44.562086-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:49:44.562086-0300 | INFO | App started | main.py:28
2023-02-10T03:49:44.727084-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:49:44.727084-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:49:44.727084-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:49:44.728085-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:49:44.728085-0300 | INFO | App started | main.py:28
2023-02-10T03:57:37.593355-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:57:37.593355-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:57:37.594357-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:57:37.595385-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:57:37.595385-0300 | INFO | App started | main.py:28
2023-02-10T03:57:37.738357-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:57:37.739355-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:57:37.739355-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:57:37.740356-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:57:37.740356-0300 | INFO | App started | main.py:28
2023-02-10T03:57:37.883359-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:57:37.883359-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:57:37.883359-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:57:37.885358-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:57:37.886359-0300 | INFO | App started | main.py:28
2023-02-10T03:57:38.112356-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T03:57:38.113357-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T03:57:38.113357-0300 | INFO | Auth models configured | models.py:54
2023-02-10T03:57:38.114357-0300 | INFO | Auth configured | views.py:9
2023-02-10T03:57:38.115364-0300 | INFO | App started | main.py:28
2023-02-10T04:00:03.169163-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:00:03.169163-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:00:03.169163-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:00:03.170162-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:00:03.171189-0300 | INFO | App started | main.py:28
2023-02-10T04:00:03.328164-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:00:03.329164-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:00:03.329164-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:00:03.330167-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:00:03.331163-0300 | INFO | App started | main.py:28
2023-02-10T04:00:03.593160-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:00:03.593160-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:00:03.594160-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:00:03.595190-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:00:03.596161-0300 | INFO | App started | main.py:28
2023-02-10T04:00:03.768161-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:00:03.768161-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:00:03.769162-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:00:03.772162-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:00:03.772162-0300 | INFO | App started | main.py:28
2023-02-10T04:01:44.549287-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:01:44.550284-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:01:44.550284-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:01:44.552288-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:01:44.553287-0300 | INFO | App started | main.py:28
2023-02-10T04:01:44.746284-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:01:44.746284-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:01:44.746284-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:01:44.748285-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:01:44.748285-0300 | INFO | App started | main.py:28
2023-02-10T04:01:45.022284-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:01:45.022284-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:01:45.022284-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:01:45.024290-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:01:45.025287-0300 | INFO | App started | main.py:28
2023-02-10T04:01:45.170286-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:01:45.170286-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:01:45.170286-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:01:45.172285-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:01:45.173283-0300 | INFO | App started | main.py:28
2023-02-10T04:02:31.925130-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:02:31.926130-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:02:31.926130-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:02:31.928130-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:02:31.928130-0300 | INFO | App started | main.py:28
2023-02-10T04:02:32.096133-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:02:32.097130-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:02:32.097130-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:02:32.098131-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:02:32.098131-0300 | INFO | App started | main.py:28
2023-02-10T04:02:32.263133-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:02:32.263133-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:02:32.263133-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:02:32.264131-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:02:32.265134-0300 | INFO | App started | main.py:28
2023-02-10T04:02:32.426132-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:02:32.427131-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:02:32.427131-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:02:32.429132-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:02:32.430134-0300 | INFO | App started | main.py:28
2023-02-10T04:03:08.657600-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:08.657600-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:08.658572-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:08.659569-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:08.659569-0300 | INFO | App started | main.py:28
2023-02-10T04:03:08.795634-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:08.795634-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:08.795634-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:08.796633-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:08.796633-0300 | INFO | App started | main.py:28
2023-02-10T04:03:08.920637-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:08.920637-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:08.920637-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:08.921638-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:08.922635-0300 | INFO | App started | main.py:28
2023-02-10T04:03:09.045687-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:09.046687-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:09.046687-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:09.048688-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:09.048688-0300 | INFO | App started | main.py:28
2023-02-10T04:03:19.952281-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:19.952281-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:19.952281-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:19.953285-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:19.954283-0300 | INFO | App started | main.py:28
2023-02-10T04:03:20.215590-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:20.216620-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:20.216620-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:20.217592-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:20.218593-0300 | INFO | App started | main.py:28
2023-02-10T04:03:20.344641-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:20.345641-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:20.345641-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:20.346645-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:20.346645-0300 | INFO | App started | main.py:28
2023-02-10T04:03:20.584010-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:03:20.585011-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:03:20.585011-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:03:20.586011-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:03:20.586011-0300 | INFO | App started | main.py:28
2023-02-10T04:04:54.058697-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:04:54.058697-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:04:54.058697-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:04:54.060701-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:04:54.060701-0300 | INFO | App started | main.py:28
2023-02-10T04:04:54.245701-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:04:54.245701-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:04:54.245701-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:04:54.246699-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:04:54.247698-0300 | INFO | App started | main.py:28
2023-02-10T04:04:54.499698-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:04:54.499698-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:04:54.499698-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:04:54.500697-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:04:54.500697-0300 | INFO | App started | main.py:28
2023-02-10T04:04:54.647697-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:04:54.647697-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:04:54.647697-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:04:54.649697-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:04:54.649697-0300 | INFO | App started | main.py:28
2023-02-10T04:07:32.170639-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:07:32.170639-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:07:32.170639-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:07:32.172638-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:07:32.172638-0300 | INFO | App started | main.py:28
2023-02-10T04:07:32.312635-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:07:32.313636-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:07:32.313636-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:07:32.314634-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:07:32.314634-0300 | INFO | App started | main.py:28
2023-02-10T04:07:32.454634-0300 | INFO | Connected in alpha_store_mock with app testing status: True | models.py:46
2023-02-10T04:07:32.454634-0300 | DEBUG | Database URI: <SQLAlchemy>, postgresql+pg8000://postgres:123@localhost/alpha_store_mock | models.py:47
2023-02-10T04:07:32.454634-0300 | INFO | Auth models configured | models.py:54
2023-02-10T04:07:32.455634-0300 | INFO | Auth configured | views.py:10
2023-02-10T04:07:32.455634-0300 | INFO | App started | main.py:28
